Fold,Val Loss,Val mIoU,Val Dice,Val mAccuracy,Val Pixel Acc,Epochs
0,0.26766008966498905,0.705292640460862,0.5955070389641656,0.8696756131119199,0.983773946762085,105
1,0.2550742593076494,0.7219463172886107,0.6275331245528327,0.9026559789975485,0.9847824176152548,105
2,0.21669083502557543,0.7396865752008226,0.6601880656348335,0.9094253215524886,0.9853139983283149,106
3,0.23849906855159336,0.7252453797393374,0.6326879792743259,0.8838361501693726,0.9852745797899034,105
4,0.27948421570989823,0.6927108152045144,0.5756555398305258,0.8655397593975067,0.9800901280509101,87
