metric,mean,std,min,max
Val mIoU,0.7169763455788295,0.018263056999430257,0.6927108152045144,0.7396865752008226
Val Dice,0.6183143496513367,0.033109449578629144,0.5756555398305258,0.6601880656348335
Val mAccuracy,0.8862265646457672,0.01946599578356991,0.8655397593975067,0.9094253215524886
Val Pixel Acc,0.9838470141092935,0.00219000558693244,0.9800901280509101,0.9853139983283149
Val Loss,0.25148169365194106,0.02468674070026204,0.21669083502557543,0.27948421570989823
