metric,mean,std,min,max
Val mIoU,0.663095077044434,0.02569717172722207,0.6289390855365329,0.6908062315649457
Val IoU,0.3490522944264941,0.048800811247144034,0.28487663467725116,0.6908062315649457
Val Dice,0.5124078035354616,0.054600156751501594,0.4383796718385484,0.5720644593238831
Val mAccuracy,0.8088047789202797,0.04760961792201384,0.7358733316262563,0.8557453552881876
Val Pixel Acc,0.9798419091436598,0.00177924645272081,0.9772304693857828,0.982094513045417
Val Loss,0.3019048558341132,0.033217527199380065,0.2659027775128682,0.34946465492248535
