Fold,Val Loss,Val mIoU,Val IoU,Val Dice,Val mAccuracy,Val Pixel Acc,Epochs
0,0.2659027775128682,0.6908062315649457,0.402226189772288,0.5720644593238831,0.8465168939696418,0.982094513045417,65
1,0.2781219134728114,0.6834563066562017,0.3869016004933251,0.5528223580784268,0.8557453552881876,0.9806158343950907,59
2,0.3183899290031857,0.646251891222265,0.31579001247882843,0.478018409676022,0.7977773514058855,0.9798392057418823,30
3,0.34946465492248535,0.6289390855365329,0.28487663467725116,0.4383796718385484,0.7358733316262563,0.9772304693857828,30
4,0.2976450042592155,0.6660218702422248,0.3554670347107781,0.5207541187604269,0.8081109623114268,0.9794295231501261,44
