Fold,Val Loss,Val IoU,Val Dice
0,0.22270984285407597,0.4774041506979201,0.6447800596555074
1,0.23596150841977862,0.4550551142957475,0.6243175400627984
2,0.2504705654250251,0.43616004122628105,0.6041018863519033
3,0.23755622075663674,0.4510323471493191,0.6205352544784546
4,0.2767299446794722,0.3963989151848687,0.5616883801089393
