Fold,Val Loss,Val mIoU,Val Dice,Val mAccuracy,Val Pixel Acc,Epochs
0,0.2325022750430637,0.7183791995048523,0.621487428744634,0.8769193391005198,0.9846419758266873,105
1,0.2535506072971556,0.7045753283633126,0.5976944632000394,0.8759238223234812,0.9819158580568101,92
2,0.22083379162682426,0.7311008440123664,0.6448538965649075,0.8770946429835426,0.9848994347784255,92
3,0.2433717432949278,0.710640968547927,0.6035550004906125,0.85509126385053,0.985252685017056,88
4,0.2834206024805705,0.7065649181604385,0.6025166610876719,0.861757927470737,0.9814204308721755,67
