metric,mean,std,min,max
Val mIoU,0.7142522517177794,0.010801459036969793,0.7045753283633126,0.7311008440123664
Val Dice,0.6140214900175731,0.019460587292018407,0.5976944632000394,0.6448538965649075
Val mAccuracy,0.8693573991457623,0.01026450653264557,0.85509126385053,0.8770946429835426
Val Pixel Acc,0.9836260769102309,0.0018089408347099771,0.9814204308721755,0.985252685017056
Val Loss,0.24673580394850841,0.023859172657043737,0.22083379162682426,0.2834206024805705
