metric,mean,std,min,max
Val mIoU,0.6968339880307516,0.015129373589151814,0.6740488178200192,0.7141240288813909
Val IoU,0.4124558872646755,0.029290867798182543,0.3676171700159709,0.7141240288813909
Val Dice,0.5808134131961399,0.03115550102339547,0.5326749020152621,0.6139580938551161
Val mAccuracy,0.8080610404411951,0.02546122388828566,0.7739662230014801,0.8351544688145319
Val Pixel Acc,0.9825519733958774,0.0013655744102129325,0.9811968472268846,0.9841668009757996
Val Loss,0.29231996403800115,0.011665955419788428,0.2814105699459712,0.3113988671037886
