Fold,Val Loss,Val mIoU,Val IoU,Val Dice,Val mAccuracy,Val Pixel Acc,Epochs
0,0.29432082176208496,0.6910698662201563,0.40199874838193256,0.5696498089366488,0.8351544688145319,0.98175624344084,53
1,0.2814105699459712,0.7031238476435343,0.4240582386652629,0.5937453243467543,0.8180944389767117,0.9838778840170966,50
2,0.28891362415419686,0.7018033795886569,0.4237484534581502,0.5940389368269179,0.7893502745363448,0.9811968472268846,76
3,0.3113988671037886,0.6740488178200192,0.3676171700159709,0.5326749020152621,0.7739662230014801,0.9817620913187662,79
4,0.2855559372239643,0.7141240288813909,0.4448568258020613,0.6139580938551161,0.8237397968769073,0.9841668009757996,77
