Fold,Val Loss,Dead Tree IoU,Mean IoU,Dead Tree Dice,Mean Dice,Pixel Accuracy,Mean Class Accuracy,Training Time (min),Best Epoch
0,0.25161448419094085,0.4281780481338501,0.7046990931034088,0.5969217777252197,0.7937188982963562,0.9815015077590943,0.7847074508666992,43.29566383759181,55
1,0.25900561809539796,0.40437307953834534,0.6936737507581711,0.5746704697608948,0.7830404579639435,0.9831747651100159,0.7655484914779663,69.93545819918315,100
2,0.2647864162921906,0.4083220541477203,0.6938441306352615,0.5781422019004822,0.7838581144809723,0.979669165611267,0.784026849269867,38.18031728665034,53
3,0.22518409490585328,0.4779710233211517,0.7317334800958634,0.6458020091056824,0.8192476093769073,0.9856885194778442,0.8009650468826294,25.403328156471254,33
4,0.24961646497249604,0.4292488873004913,0.7043024510145187,0.5996650576591491,0.7946118831634521,0.9796844005584717,0.7923370718955993,50.98917581240336,72
